Date;Open;High;Low;Close;Volume;Adj Close
2012-01-24;425.1;425.1;419.55;420.41;19226900;420.41
2012-01-23;422.67;428.45;422.3;427.41;10915800;427.41
2012-01-20;427.49;427.5;419.75;420.3;14758300;420.3
2012-01-19;430.15;431.37;426.51;427.75;9332700;427.75
2012-01-18;426.96;429.47;426.3;429.11;9872800;429.11
2012-01-17;424.2;425.99;422.96;424.7;8658700;424.7
2012-01-13;419.7;420.45;418.66;419.81;8072200;419.81
2012-01-12;422.28;422.9;418.75;421.39;7592400;421.39
2012-01-11;422.68;422.85;419.31;422.55;7681600;422.55
2012-01-10;425.91;426;421.5;423.24;9221300;423.24
2012-01-09;425.5;427.75;421.35;421.73;14060600;421.73
2012-01-06;419.77;422.75;419.22;422.4;11367600;422.4
2012-01-05;414.95;418.55;412.67;418.03;9675800;418.03
2012-01-04;410;414.68;409.28;413.44;9286500;413.44
2012-01-03;409.4;412.5;409;411.23;10793600;411.23
2011-12-30;403.51;406.28;403.49;405;6416500;405
2011-12-29;403.4;405.65;400.51;405.12;7713500;405.12
2011-12-28;406.89;408.25;401.34;402.64;8166500;402.64
2011-12-27;403.1;409.09;403.02;406.53;9467000;406.53
2011-12-23;399.69;403.59;399.49;403.33;9621400;403.33
2011-12-22;397;399.13;396.1;398.55;7209900;398.55
2011-12-21;396.69;397.3;392.01;396.45;9367000;396.45
2011-12-20;387.76;396.1;387.26;395.95;12043400;395.95
2011-12-19;382.47;384.85;380.48;382.21;8388500;382.21
2011-12-16;380.36;384.15;379.57;381.02;15052800;381.02
2011-12-15;383.33;383.74;378.31;378.94;9150000;378.94
2011-12-14;386.7;387.38;377.68;380.19;14531700;380.19
2011-12-13;393;395.4;387.1;388.81;12104600;388.81
2011-12-12;391.68;393.9;389.45;391.84;10693500;391.84
2011-12-09;392.85;394.04;391.03;393.62;10606900;393.62
2011-12-08;391.45;395.5;390.23;390.66;13428900;390.66
2011-12-07;389.93;390.94;386.76;389.09;10883800;389.09
2011-12-06;392.51;394.63;389.38;390.95;10128500;390.95
2011-12-05;393.49;396.41;390.39;393.01;12757500;393.01
2011-12-02;389.83;393.63;388.58;389.7;13537700;389.7
2011-12-01;382.54;389;380.75;387.93;13709400;387.93
