Date;Open;High;Low;Close;Volume;AdjClose
2012-01-24;2426.86;2440.2;2423.24;2433.96;1620690000;2433.96
2012-01-23;2437.06;2455.22;2424.29;2437.22;1652940000;2437.22
2012-01-20;2428.66;2438.25;2428.35;2437.02;1949660000;2437.02
2012-01-19;2435.14;2445.59;2433.03;2441.7;1959950000;2441.7
2012-01-18;2396.63;2425.96;2395.43;2425.96;1968940000;2425.96
2012-01-17;2396.14;2404.08;2385.79;2393.24;1664210000;2393.24
2012-01-13;2371.42;2373.5;2352.76;2371.98;1655960000;2371.98
2012-01-12;2377.34;2384.26;2359.92;2381.99;1669550000;2381.99
2012-01-11;2363.69;2376.58;2357.53;2372.25;1699660000;2372.25
2012-01-10;2374.26;2381.43;2360.98;2367.38;1809500000;2367.38
2012-01-09;2362.53;2363.48;2342.34;2350.65;1768080000;2350.65
2012-01-06;2350.68;2362.58;2341.64;2356.17;1683090000;2356.17
2012-01-05;2326.58;2351.45;2317.52;2348.98;1836410000;2348.98
2012-01-04;2316.53;2333.29;2307.56;2329.71;1670530000;2329.71
2012-01-03;2323.16;2332.24;2315.28;2321.96;1636850000;2321.96
2011-12-30;2281.91;2289.12;2277.77;2277.83;1056790000;2277.83
2011-12-29;2272.56;2285.72;2264.89;2285.07;1011380000;2285.07
2011-12-28;2294.97;2295.17;2262.22;2267.08;1069930000;2267.08
2011-12-27;2284.29;2301.3;2281.86;2293.12;945590000;2293.12
2011-12-23;2274.35;2287.96;2268.24;2287.57;960940000;2287.57
2011-12-22;2254.68;2268.59;2251.31;2266.77;1515610000;2266.77
2011-12-21;2265.9;2267.01;2222.68;2249.03;1853710000;2249.03
2011-12-20;2253.19;2283.45;2252.57;2281.94;1835720000;2281.94
2011-12-19;2244.37;2250.27;2209.57;2215.27;1560110000;2215.27
2011-12-16;2238.59;2267.55;2234.3;2238.18;2664690000;2238.18
2011-12-15;2253.14;2253.21;2223.52;2226.71;1748400000;2226.71
2011-12-14;2259.84;2260.52;2219.68;2233.03;1793960000;2233.03
2011-12-13;2308.29;2316.9;2258.71;2268.37;1752320000;2268.37
2011-12-12;2295.43;2295.53;2274.15;2292.24;1572600000;2292.24
2011-12-09;2287.27;2325.64;2287.27;2318.68;1664710000;2318.68
2011-12-08;2309.53;2324.04;2278.42;2282.59;1845640000;2282.59
2011-12-07;2312.55;2331.73;2292.15;2320.54;1658010000;2320.54
2011-12-06;2327.65;2335.79;2313.99;2321.49;1491130000;2321.49
2011-12-05;2336.55;2343.1;2315.18;2326.95;1686660000;2326.95
2011-12-02;2327.87;2331.12;2301.25;2302.04;1662730000;2302.04
2011-12-01;2294.27;2314.9;2292.26;2309.2;1826860000;2309.2
2011-11-30;2270.28;2295.35;2264.72;2295.2;2440960000;2295.2
2011-11-29;2225.12;2240.63;2205.77;2211.39;1623550000;2211.39
2011-11-28;2207.68;2227.81;2206.69;2224.22;1626060000;2224.22
2011-11-25;2159.94;2182.28;2150.71;2150.88;691750000;2150.88
2011-11-23;2199.46;2203.14;2166.54;2166.54;1707770000;2166.54
2011-11-22;2205.31;2224.04;2191.87;2216.33;1792060000;2216.33
2011-11-21;2219.88;2225.54;2188.14;2211.14;2048520000;2211.14
2011-11-18;2273.64;2274.62;2250.94;2253.95;1755360000;2253.95
2011-11-17;2320.64;2320.81;2257.92;2272.09;2197320000;2272.09
