Open;High;Low;Close
519.67;522.9;518.64;522.41
515.08;517.83;509.5;516.39
513.08;515.49;509.07;513.04
506.88;514.85;504.12;514.85
503.11;507.77;500.3;502.12
491.5;504.89;486.63;502.21
514.26;526.29;496.89;497.67
504.66;509.56;502;509.46
499.53;503.83;497.09;502.6
490.96;497.62;488.55;493.42
480.76;496.75;480.56;493.17
470.5;476.79;469.7;476.68
465.25;469.75;464.58;468.83
458.38;464.98;458.2;463.97
457.3;460;455.56;459.68
455.9;457.17;453.98;455.12
458.41;458.99;455.55;456.19
455.59;458.24;453.07;456.48
445.71;453.9;445.39;453.01
444.34;448.48;443.77;447.28
448.36;448.79;443.14;444.63
454.44;454.45;443.73;446.66
425.1;425.1;419.55;420.41
422.67;428.45;422.3;427.41
427.49;427.5;419.75;420.3
430.15;431.37;426.51;427.75
426.96;429.47;426.3;429.11
424.2;425.99;422.96;424.7
419.7;420.45;418.66;419.81
422.28;422.9;418.75;421.39
422.68;422.85;419.31;422.55
425.91;426;421.5;423.24
425.5;427.75;421.35;421.73
419.77;422.75;419.22;422.4
414.95;418.55;412.67;418.03
410;414.68;409.28;413.44
409.4;412.5;409;411.23
403.51;406.28;403.49;405
403.4;405.65;400.51;405.12
406.89;408.25;401.34;402.64
403.1;409.09;403.02;406.53
399.69;403.59;399.49;403.33
397;399.13;396.1;398.55
396.69;397.3;392.01;396.45
387.76;396.1;387.26;395.95
382.47;384.85;380.48;382.21
380.36;384.15;379.57;381.02
383.33;383.74;378.31;378.94
386.7;387.38;377.68;380.19
393;395.4;387.1;388.81
391.68;393.9;389.45;391.84
392.85;394.04;391.03;393.62
391.45;395.5;390.23;390.66
389.93;390.94;386.76;389.09
392.51;394.63;389.38;390.95
393.49;396.41;390.39;393.01
389.83;393.63;388.58;389.7
382.54;389;380.75;387.93
381.29;382.28;378.3;382.2
375.84;378.83;370.2;373.2
372.35;376.72;370.33;376.12
368.42;371.15;363.32;363.57
374.51;375.84;366.88;366.99
371.02;377.93;370.94;376.51
370.4;371.68;365.91;369.01
378.92;379.99;374.88;374.94
383.98;384.58;375.5;377.41
389.25;391.14;384.32;384.77
380.8;389.5;379.45;388.83
383.52;385.25;378.2;379.26
386.61;388.7;380.26;384.62
397.03;397.21;382.15;385.22
396.97;400.89;394.23;395.28
402.21;408;401.56;406.23
399.91;400;396.13;399.73
402.03;403.44;399.16;400.24
399.07;403.4;395.36;403.07
400.09;400.44;395.11;397.41
397.41;399.5;393.22;396.51
402.42;409.33;401.05;404.78
403;406.35;402.51;404.95
407.56;409;401.89;404.69
401.76;402.55;393.15;400.6
405.03;406.55;397.38;397.77
396.18;406.5;395.4;405.77
398.1;399.14;390.75;392.87
400;400.35;394.21;395.31
401.35;408.42;397.8;398.62
421.76;424.81;415.99;422.24
421.74;426.7;415.94;419.99
