Open;High;Low;Close
607.35;611.65;605.51;609.9
607;607.94;600.35;606.11
611.96;616.78;606.71;607.94
603.87;617.88;602.88;614
604.97;607.63;602.4;604.64
602.82;608.81;597.73;606.52
612.93;612.93;602.56;605.56
611.54;612;604.76;609.76
610.5;613.84;610.02;612.2
607.88;608.13;604;605.91
612.02;614.5;609;611.46
608.64;611.35;604.74;609.85
607.15;609.39;603.76;606.77
595.01;610.83;594.01;609.09
590.66;597.07;588.05;596.33
584.87;586.41;582.08;585.11
584.94;585.5;579.14;580.83
583;584;575.15;580.11
578.05;580;573.4;577.69
570.78;580.32;569.33;579.98
571.98;574.48;564.55;568.1
577.51;578.71;566.38;569.49
586.32;587.68;578;580.93
586;588.66;583.16;585.52
590.53;591;581.7;585.99
640.99;640.99;631.46;639.57
626.63;634;622.12;632.91
631.98;631.98;625.68;628.58
626.26;626.95;621.06;624.99
631.22;632.89;626.5;629.64
623.5;629.39;621.12;625.96
629.75;633.8;616.91;623.14
646.5;647;621.23;622.46
659.15;660;649.79;650.02
662.13;663.97;656.23;659.01
665.03;670.25;660.62;668.28
652.94;668.15;652.37;665.41
642.02;646.76;642.02;645.9
641.49;643;635.2;642.4
642.75;645;638.1;639.7
632.05;644.49;632;640.25
632;634.68;630.56;633.14
627.95;631.73;627.01;629.7
630.01;631.82;618.96;625.82
628;631.84;627.99;630.37
628.01;628.5;620;621.83
624.32;629.32;621.47;625.96
622.52;624;618.69;619.54
621.85;624.32;612.49;618.07
628.76;636.56;622.85;625.63
621.88;626.18;620.29;625.39
618;629.13;617.01;627.42
621.04;627.45;615.3;616.05
621.68;625.66;618.1;623.39
622.99;628.62;620.24;623.77
627.64;631.9;622.4;625.65
617.05;624;616.26;620.36
600;616;599;613.77
597.95;599.51;592.09;599.39
587.88;590.36;581.33;582.93
579.37;588.82;576.5;588.19
565.19;574.27;561.33;563
575.35;580.25;570.11;570.11
580;584.97;575.24;580
587.76;588.5;572.09;580.94
602;604.5;593.75;594.88
610.05;612.29;596.78;600.87
612.08;618.3;610.61;611.47
612.8;618.08;610.5;616.56
608;618.08;607.78;613
601.3;612.09;598.6;608.35
605.93;605.95;591.56;595.08
604.26;609.39;598.66;600.95
609;614.37;603.6;612.34
593.32;608.78;592.23;608.33
593.5;599.74;592.43;596.14
587;597.5;583.72;597.5
584.9;587.96;580.48;584.82
580.1;585.51;576.75;578.65
595.09;599.69;591.67;592.64
594.52;602.3;594.25;600.14
598.42;602.7;593.3;598.67
589.55;590.18;572.86;586.31
593.1;595;582.85;583.16
586.72;599.97;586.5;596.42
589.51;592.75;586.7;590.49
581.9;588.89;579.51;583.67
587.34;592.06;579.22;580.7
580.19;592.56;577.4;590.51
583.72;591.83;578;582.41
599.47;599.6;587.57;591.68
550.03;559;548.02;558.99
548.13;555.23;544.63;548.5
533.46;546.8;533.46;543.18
525.18;537.47;523.2;537.17
516.83;520.5;510.3;515.12
507.5;515.23;502.6;514.71
496.35;507.8;480.77;504.7
490.03;503.44;480.6;501.9
509.85;512;495;495.52
520.21;524;514.38;515.04
536.04;537.3;519.41;527.5
541.5;544.02;527.7;528.84
538.2;547.05;536.05;539.34
527.25;532.93;513.25;531.89
516.56;526.42;514.5;525.51
526.25;528.78;514;520.66
547.69;555;538.86;539.2
549.4;558.52;542.67;546.63
540.35;549.9;535.38;546.67
544.8;546.84;543.14;546.68
535.5;544.98;534.56;542.56
532.59;536.95;525.82;532.07
532;533.88;523.4;529.52
517.96;531.99;517.5;530.12
531.4;534.65;521.19;524.85
533.8;539.1;531.9;534.96
530.45;535.94;527.4;534.03
510.8;522.76;510.5;522.18
524.47;527.92;520.73;524.84
540.75;543.83;531.22;532.5
544.74;546.3;536;540.96
538.19;542.99;530.81;540.7
534.56;539.45;533.56;539.08
519.99;530.45;513.14;526.86
530.38;537.27;518.3;520.04
519.33;530;517.23;523.29
503.5;521.41;499.06;518.82
504;507;494.53;498.17
499.34;514.87;490.86;490.92
523.47;524.89;500.49;504.88
540.03;543.69;530.77;533.15
552.43;552.44;530.3;539
553.43;564.99;546.05;557.23
569.5;570.5;560.4;563.77
553.82;568.5;548.41;562.13
561.38;564.12;547.73;549.01
561;574.61;541.01;573.41
562.98;569;544.35;546.02
582.54;590;562;579.04
594.5;598.85;577.47;577.52
594.27;603;583.63;601.17
606;609.67;591.57;592.4
611.22;615.5;599.18;606.77
604.23;614.96;603.69;603.69
605.19;615.98;603;610.94
617.18;620.95;604.75;607.22
618.05;627.5;617.22;622.52
613.36;625.41;613;618.98
605.39;619.5;604.27;618.23
594.03;608.06;594.01;606.99
602.18;602.83;595.35;595.35
596.14;604.68;595.53;602.55
592.49;602.05;592;594.94
597.5;600.25;588.16;597.62
539.12;542;526.73;528.94
537;544;536.48;538.26
528.16;539.42;526;534.01
528.18;535.98;525.5;527.28
532.95;537.65;527.27;531.99
541;550.68;535.88;546.6
533.5;538.51;533.04;535.36
525.3;535.4;525.3;532.44
506.74;521.18;506.38;521.03
501.99;506.67;501.5;506.38
496.54;500.25;492.38;497.57
484.02;496.21;484.02;493.65
474;488.4;473.6;482.8
480.68;480.75;473.02;474.88
482.13;482.86;473.73;480.22
491.45;492.35;486.73;487.01
487.19;493.94;484.73;493
485;486.23;479.23;484.58
506.18;506.69;484.8;485.02
502.81;506.57;496.67;500.37
505.03;508.35;500.61;502.95
508.15;514.08;506.99;508.37
510;510.2;502.17;504.73
514.08;516.69;509.29;509.51
520;520;515.64;516.73
516.53;521.24;515.78;519.17
522.89;524.63;518.99;519.03
523.54;526.82;519.25;521.06
522;527.6;521.5;523.08
527.57;530.3;522.48;528.06
528.04;533.2;525.31;525.6
525;529.05;523.5;529.02
518.48;521.79;516.3;520.9
517.7;522.12;515;518.13
517.33;522.77;517.25;519.67
520.37;523.96;518.15;518.26
516.6;520;513.4;518.39
531.8;531.99;523.13;524.03
532.73;536.54;529.72;531.25
529.54;530.33;525.7;529.81
515.43;531.22;515.03;530.46
526.31;527.27;516.4;518.42
534.61;535.92;529.05;529.55
535.24;536.94;530.91;535.05
540.14;543.55;533.69;535.45
540;544.43;537.54;542.66
535;538.49;531.1;537.68
538.15;541.46;535.18;535.3
533.86;539.42;531.5;534.27
535.17;539;533.02;535.79
537.13;542.01;529.63;533.89
545.7;545.73;537.12;538.56
540;544.1;538.51;544.1
538.06;539.25;534.08;537.97
538;538.11;534.35;537.76
526.52;537.44;525.21;532.82
525.25;527;522.01;525.05
527.49;528.28;522.39;525.1
525.9;526.82;521.39;525.73
529.95;530.88;520.9;521.53
526.42;527.66;519;526.84
545.29;545.75;530.06;530.7
575.19;579.45;572.1;578.51
575.51;577.6;571.75;576.28
575;576.91;568.05;570.61
576.2;578.1;573;577.37
584.89;584.89;578.06;578.16
575.73;580.64;574.19;580
572.18;575.16;568;574.18
581.08;581.49;565.68;569.09
593;594.74;583.1;587.68
588.76;595.19;588.76;591.8
583;588.16;581.74;586.76
584.38;585.5;580.58;581.84
576;581.89;573.01;581.73
582.07;584.99;574.71;575.36
586.88;586.91;579.24;579.74
585.43;588.39;578.8;586.89
575.19;582.45;572;582.16
577.27;579.23;572.51;577.32
570.22;579.8;569.02;576.5
564.64;567.99;559.74;561.06
564.48;569;560.54;561.36
568.01;569.79;551.28;557.1
557.5;571;555.5;569.56
572.8;578.29;568.02;569.99
578.22;580;573.33;576.71
585.44;586.62;579.45;580.3
591;594.51;585.75;591.77
592.93;597.98;590.2;592.31
600.55;603.69;587;591.66
608.33;608.98;600.2;600.62
606.38;611.49;605;609.56
599.8;606;595.19;600.79
617.78;619.22;599.3;600.76
610;616.49;608.01;613.4
611.86;614.72;609.5;610.04
611.39;613.09;601.35;608.82
610.33;614.7;604;611.32
620.03;624.93;607.77;610.21
626;631.18;624.18;630.08
621.25;627.25;620.28;625.26
625.63;626.5;622.1;624.22
627.32;630.09;623.1;624.15
623.34;629.64;620.04;628.15
613.79;625;613;624.5
613.9;617.5;611.56;616.44
616.87;619.45;612.34;616.5
614.93;619.63;614.51;618.38
610.16;618.39;609.21;614.29
610.15;611.44;606.61;610.98
609.48;611.45;606.13;610.15
611;614.34;607.53;612
604.49;613.35;603.11;611.04
603.6;604.47;595.55;600.36
619.07;620.36;599.76;600.99
617.89;619.7;613.25;616.79
620.33;622.49;615.28;616.5
608.2;620.69;606.52;619.91
607.57;612.49;601.23;611.08
639.58;641.73;611.36;611.83
632.21;634.08;623.29;626.77
642.12;642.96;629.66;631.75
626.06;641.99;625.27;639.63
617.4;624.27;617.08;624.18
616.97;619.67;614.16;616.69
619.35;619.35;614.77;616.87
617.71;618.8;614.5;616.01
614.8;615.39;608.56;614.21
615.91;618.25;610.13;616.44
610.68;618.43;610.05;613.5
600.07;610.33;600.05;609.07
605.62;606.18;600.12;602.12
596.48;605.59;596.48;604.35
596.74;598.42;592.03;593.97
598;601.33;597.39;598.86
602;602.41;598.92;601
602.05;603.87;598.01;598.92
602.74;603.78;599.5;602.38
605.34;606;602.03;604.23
604;607;603.28;605.49
598.57;604.72;597.61;603.07
594.65;597.88;588.66;595.06
591;592.56;587.67;590.8
592.85;593.77;588.07;591.71
594.2;596.45;589.15;590.3
597.09;598.29;592.48;594.91
597.12;603;594.09;594.62
593.14;593.99;590.29;592.21
593.88;595.58;589;591.5
591.97;592.52;583.69;590.54
591.27;593;586;587.14
580.57;582;576.61;578.36
569.45;576.48;568;573
568.66;573.33;565.35;571.82
563;571.57;562.4;564.35
574.32;574.32;553.31;555.71
589.17;589.8;579.95;582.11
590.46;592.98;587;590
587.31;596.6;587.05;594.97
587.01;589.01;578.2;583.01
587.47;593.44;582.75;591.22
597;597.89;590.34;590.83
589;599.98;588.56;596.56
585;589.5;581.37;583.55
592.76;597.89;583.45;583.72
603.08;604;594.05;595.47
613.99;616.9;601.21;603.29
619.7;619.85;614.21;617.19
622.08;623;617.51;622.88
630;630.85;620.51;624.82
624.02;629.49;623.13;626.77
623.18;625.49;621.11;625.08
624.64;629.92;622.1;624.27
617.5;621.83;613.5;620.18
618.67;620;614.58;615.6
615.73;620.66;611.21;615
617.07;619;612.99;613.7
620.05;621;613.3;618.58
615.77;620;612.33;616.47
613.1;621.23;611.03;618.6
615.59;624.74;614.97;616.5
611.92;614.82;610.05;612.53
611.51;616;606;611.99
608.14;617.38;607.5;607.98
608.85;614.82;602.86;607.83
600.55;619.69;600.55;617.71
599.27;601.64;591.6;601.45
