Date;Open;High;Low;Close
2012-02-24;519.67;522.9;518.64;522.41
2012-02-23;515.08;517.83;509.5;516.39
2012-02-22;513.08;515.49;509.07;513.04
2012-02-21;506.88;514.85;504.12;514.85
2012-02-17;503.11;507.77;500.3;502.12
2012-02-16;491.5;504.89;486.63;502.21
2012-02-15;514.26;526.29;496.89;497.67
2012-02-14;504.66;509.56;502;509.46
2012-02-13;499.53;503.83;497.09;502.6
2012-02-10;490.96;497.62;488.55;493.42
2012-02-09;480.76;496.75;480.56;493.17
2012-02-08;470.5;476.79;469.7;476.68
2012-02-07;465.25;469.75;464.58;468.83
2012-02-06;458.38;464.98;458.2;463.97
2012-02-03;457.3;460;455.56;459.68
2012-02-02;455.9;457.17;453.98;455.12
2012-02-01;458.41;458.99;455.55;456.19
2012-01-31;455.59;458.24;453.07;456.48
2012-01-30;445.71;453.9;445.39;453.01
2012-01-27;444.34;448.48;443.77;447.28
2012-01-26;448.36;448.79;443.14;444.63
2012-01-25;454.44;454.45;443.73;446.66
2012-01-24;425.1;425.1;419.55;420.41
2012-01-23;422.67;428.45;422.3;427.41
2012-01-20;427.49;427.5;419.75;420.3
2012-01-19;430.15;431.37;426.51;427.75
2012-01-18;426.96;429.47;426.3;429.11
2012-01-17;424.2;425.99;422.96;424.7
2012-01-13;419.7;420.45;418.66;419.81
2012-01-12;422.28;422.9;418.75;421.39
2012-01-11;422.68;422.85;419.31;422.55
2012-01-10;425.91;426;421.5;423.24
2012-01-09;425.5;427.75;421.35;421.73
2012-01-06;419.77;422.75;419.22;422.4
2012-01-05;414.95;418.55;412.67;418.03
2012-01-04;410;414.68;409.28;413.44
2012-01-03;409.4;412.5;409;411.23
2011-12-30;403.51;406.28;403.49;405
2011-12-29;403.4;405.65;400.51;405.12
2011-12-28;406.89;408.25;401.34;402.64
2011-12-27;403.1;409.09;403.02;406.53
2011-12-23;399.69;403.59;399.49;403.33
2011-12-22;397;399.13;396.1;398.55
2011-12-21;396.69;397.3;392.01;396.45
2011-12-20;387.76;396.1;387.26;395.95
2011-12-19;382.47;384.85;380.48;382.21
2011-12-16;380.36;384.15;379.57;381.02
2011-12-15;383.33;383.74;378.31;378.94
2011-12-14;386.7;387.38;377.68;380.19
2011-12-13;393;395.4;387.1;388.81
2011-12-12;391.68;393.9;389.45;391.84
2011-12-09;392.85;394.04;391.03;393.62
2011-12-08;391.45;395.5;390.23;390.66
2011-12-07;389.93;390.94;386.76;389.09
2011-12-06;392.51;394.63;389.38;390.95
2011-12-05;393.49;396.41;390.39;393.01
2011-12-02;389.83;393.63;388.58;389.7
2011-12-01;382.54;389;380.75;387.93
2011-11-30;381.29;382.28;378.3;382.2
2011-11-29;375.84;378.83;370.2;373.2
2011-11-28;372.35;376.72;370.33;376.12
2011-11-25;368.42;371.15;363.32;363.57
2011-11-23;374.51;375.84;366.88;366.99
2011-11-22;371.02;377.93;370.94;376.51
2011-11-21;370.4;371.68;365.91;369.01
2011-11-18;378.92;379.99;374.88;374.94
2011-11-17;383.98;384.58;375.5;377.41
2011-11-16;389.25;391.14;384.32;384.77
2011-11-15;380.8;389.5;379.45;388.83
2011-11-14;383.52;385.25;378.2;379.26
2011-11-11;386.61;388.7;380.26;384.62
2011-11-10;397.03;397.21;382.15;385.22
2011-11-09;396.97;400.89;394.23;395.28
2011-11-08;402.21;408;401.56;406.23
2011-11-07;399.91;400;396.13;399.73
2011-11-04;402.03;403.44;399.16;400.24
2011-11-03;399.07;403.4;395.36;403.07
2011-11-02;400.09;400.44;395.11;397.41
2011-11-01;397.41;399.5;393.22;396.51
2011-10-31;402.42;409.33;401.05;404.78
2011-10-28;403;406.35;402.51;404.95
2011-10-27;407.56;409;401.89;404.69
2011-10-26;401.76;402.55;393.15;400.6
2011-10-25;405.03;406.55;397.38;397.77
2011-10-24;396.18;406.5;395.4;405.77
2011-10-21;398.1;399.14;390.75;392.87
2011-10-20;400;400.35;394.21;395.31
2011-10-19;401.35;408.42;397.8;398.62
2011-10-18;421.76;424.81;415.99;422.24
2011-10-17;421.74;426.7;415.94;419.99
2011-10-14;416.83;422;415.27;422
2011-10-13;404.98;408.43;402.85;408.43
2011-10-12;407.34;409.25;400.14;402.19
2011-10-11;392.57;403.18;391.5;400.29
2011-10-10;379.09;388.81;378.21;388.81
2011-10-07;375.78;377.74;368.49;369.8
2011-10-06;373.33;384.78;371.8;377.37
2011-10-05;367.86;379.82;360.3;378.25
2011-10-04;374.57;381.8;354.24;372.5
2011-10-03;380.37;382.64;373.17;374.6
2011-09-30;387.12;388.89;381.18;381.32
2011-09-29;401.92;402.21;386.21;390.57
2011-09-28;400.19;403.74;396.51;397.01
2011-09-27;408.73;409.25;398.06;399.26
2011-09-26;399.86;403.98;391.3;403.17
2011-09-23;400.28;406.74;399.85;404.3
2011-09-22;401.03;409.82;396.7;401.82
2011-09-21;419.64;421.59;412;412.14
2011-09-20;415.25;422.86;411.19;413.45
2011-09-19;397;413.23;395.2;411.63
2011-09-16;395.54;400.5;395.03;400.5
2011-09-15;391.43;393.66;389.9;392.96
2011-09-14;387.02;392.21;385.76;389.3
2011-09-13;382.14;386.21;380.25;384.62
2011-09-12;373;380.88;371.9;379.94
2011-09-09;383.93;386;375.02;377.48
2011-09-08;382.4;388.61;382.31;384.14
2011-09-07;385.56;385.6;382;383.93
2011-09-06;367.37;380.33;366.48;379.74
2011-09-02;374.74;378;371.83;374.05
2011-09-01;385.82;387.34;380.72;381.03
2011-08-31;390.57;392.08;381.86;384.83
2011-08-30;388.25;391.84;386.21;389.99
2011-08-29;388.18;391.5;388;389.97
2011-08-26;371.17;383.8;370.8;383.58
2011-08-25;365.08;375.45;365;373.72
2011-08-24;373.47;378.96;370.6;376.18
2011-08-23;360.3;373.64;357;373.6
2011-08-22;364.51;364.88;355.09;356.44
2011-08-19;362.17;367;356;356.03
2011-08-18;370.84;372.65;361.37;366.05
2011-08-17;382.31;384.52;378;380.44
2011-08-16;381.52;383.37;376.06;380.48
2011-08-15;379.63;384.97;378.09;383.41
2011-08-12;378.07;379.64;374.23;376.99
2011-08-11;370.52;375.45;364.72;373.7
2011-08-10;371.15;374.65;362.5;363.69
