"STATE";"Y1";"Y2";"X1";"X2"
"1";"AL";2206;2186;92.7;91.4
"2";"AK";0.7;0.7;151;149
"3";"AZ";73;74;61;56
"4";"AR";3620;3737;86.3;91.8
"5";"CA";7472;7444;63.4;58.4
"6";"CO";788;873;77.8;73
"7";"CT";1029;948;106;104
"8";"DE";168;164;117;113
"9";"FL";2568;2537;62;57.2
"10";"GA";4302;4301;80.6;80.8
"11";"HI";227.5;224.5;85;85.5
"12";"ID";187;203;79.1;72.9
"13";"IL";793;809;65;70.5
"14";"IN";5445;5290;62.7;60.1
"15";"IA";2151;2247;56.5;53
"16";"KS";404;389;54.5;47.8
"17";"KY";412;483;67.7;73.5
"18";"LA";273;254;115;115
"19";"ME";1069;1070;101;97
"20";"MD";885;898;76.6;75.4
"21";"MA";235;237;105;102
"22";"MI";1406;1396;58;53.8
"23";"MN";2499;2697;57.7;54
"24";"MS";1434;1468;87.8;86.7
"25";"MO";1580;1622;55.4;51.5
"26";"MT";172;164;68;66
"27";"NE";1202;1400;50.3;48.9
"28";"NV";2.2;1.8;53.9;52.7
"29";"NH";43;49;109;104
"30";"NJ";442;491;85;83
"31";"NM";283;302;74;70
"32";"NY";975;987;68.1;64
"33";"NC";3033;3045;82.8;78.7
"34";"ND";51;45;55.2;48
"35";"OH";4667;4637;59.1;54.7
"36";"OK";869;830;101;100
"37";"OR";652;686;77;74.6
"38";"PA";4976;5130;61;52
"39";"RI";53;50;102;99
"40";"SC";1422;1420;70.1;65.9
"41";"SD";435;602;48;45.8
"42";"TN";277;279;71;80.7
"43";"TX";3317;3356;76.7;72.6
"44";"UT";456;486;64;59
"45";"VT";31;30;106;102
"46";"VA";934;988;86.3;81.2
"47";"WA";1287;1313;74.1;71.5
"48";"WV";136;174;104;109
"49";"WI";910;873;60.1;54
"50";"WY";1.7;1.7;83;83
