STATE	Y1	Y2	X1	X2
AL	2206	2186	92.7	91.4
AK	0.7	0.7	151	149
AZ	73	74	61	56
AR	3620	3737	86.3	91.8
CA	7472	7444	63.4	58.4
CO	788	873	77.8	73
CT	1029	948	106	104
DE	168	164	117	113
FL	2568	2537	62	57.2
GA	4302	4301	80.6	80.8
HI	227.5	224.5	85	85.5
ID	187	203	79.1	72.9
IL	793	809	65	70.5
IN	5445	5290	62.7	60.1
IA	2151	2247	56.5	53
KS	404	389	54.5	47.8
KY	412	483	67.7	73.5
LA	273	254	115	115
ME	1069	1070	101	97
MD	885	898	76.6	75.4
MA	235	237	105	102
MI	1406	1396	58	53.8
MN	2499	2697	57.7	54
MS	1434	1468	87.8	86.7
MO	1580	1622	55.4	51.5
MT	172	164	68	66
NE	1202	1400	50.3	48.9
NV	2.2	1.8	53.9	52.7
NH	43	49	109	104
NJ	442	491	85	83
NM	283	302	74	70
NY	975	987	68.1	64
NC	3033	3045	82.8	78.7
ND	51	45	55.2	48
OH	4667	4637	59.1	54.7
OK	869	830	101	100
OR	652	686	77	74.6
PA	4976	5130	61	52
RI	53	50	102	99
SC	1422	1420	70.1	65.9
SD	435	602	48	45.8
TN	277	279	71	80.7
TX	3317	3356	76.7	72.6
UT	456	486	64	59
VT	31	30	106	102
VA	934	988	86.3	81.2
WA	1287	1313	74.1	71.5
WV	136	174	104	109
WI	910	873	60.1	54
WY	1.7	1.7	83	83

